target_type,canonical_name,nav_code,safety_notes
building,Building C,NAV_BLDG_C,
building,Building A,NAV_BLDG_A,
building,Building B,NAV_BLDG_B,
building,Building D,NAV_BLDG_D,
building,Building E,NAV_BLDG_E,
department,Software Engineering Department,NAV_DEPT_SET,
department,Civil Engineering Department,NAV_DEPT_CBE,
department,Mechatronics Engineering Department,NAV_DEPT_MCT,
department,Renewable Energy Engineering Department,NAV_DEPT_ERG,
room,C101,NAV_ROOM_C101,
room,C102,NAV_ROOM_C102,
room,C103,NAV_ROOM_C103,
room,C104,NAV_ROOM_C104,
room,C105,NAV_ROOM_C105,
room,C106,NAV_ROOM_C106,
room,C107,NAV_ROOM_C107,
room,C108,NAV_ROOM_C108,
room,C109,NAV_ROOM_C109,
room,C110,NAV_ROOM_C110,
room,C111,NAV_ROOM_C111,
room,C112,NAV_ROOM_C112,
room,C113,NAV_ROOM_C113,
room,C114,NAV_ROOM_C114,
room,C115,NAV_ROOM_C115,
room,C201,NAV_ROOM_C201,
room,C202,NAV_ROOM_C202,
room,C203,NAV_ROOM_C203,
room,C204,NAV_ROOM_C204,
room,C205,NAV_ROOM_C205,
room,C206,NAV_ROOM_C206,
room,C207,NAV_ROOM_C207,
room,C208,NAV_ROOM_C208,
room,C209,NAV_ROOM_C209,
room,C210,NAV_ROOM_C210,
room,C211,NAV_ROOM_C211,
room,C212,NAV_ROOM_C212,
room,C213,NAV_ROOM_C213,
room,C214,NAV_ROOM_C214,
lab,Theory of mechanics,NAV_LAB_THEORY_OF_MECHANICS,
lab,CNC,NAV_LAB_CNC,
lab,Stress Lab,NAV_LAB_STRESS_LAB,
lab,Robotics and Machine Vision,NAV_LAB_ROBOTICS_AND_MACHINE_VISION,
lab,Automatic Control,NAV_LAB_AUTOMATIC_CONTROL,
lab,Prototyping,NAV_LAB_PROTOTYPING,
lab,Festo Pneumonics and Hydrolics Lab,NAV_LAB_FESTO_PNEUMONICS_AND_HYDROLICS,
lab,Digital Design and Microcontrollers,NAV_LAB_DIGITAL_DESIGN_AND_MICROCONTROLLERS,
lab,Introduction to Mechatronics,NAV_LAB_INTRODUCTION_TO_MECHATRONICS,
lab,Industrial Networks and Embedded Systems Lab,NAV_LAB_INDUSTRIAL_NETWORKS_AND_EMBEDDED_SYSTEMS,
lab,Fluid Mechatronics lab,NAV_LAB_FLUID_MECHATRONICS,
lab,Power Electronics,NAV_LAB_POWER_ELECTRONICS,
lab,Motor Drives,NAV_LAB_MOTOR_DRIVES,
lab,Electric and Electronic Measurements,NAV_LAB_ELECTRIC_AND_ELECTRONIC_MEASUREMENTS,
lab,Signals and Systems,NAV_LAB_SIGNALS_AND_SYSTEMS,
lab,Electric and Electronic Circuits Lab,NAV_LAB_ELECTRIC_AND_ELECTRONIC_CIRCUITS,
lab,Thermodynamics,NAV_LAB_THERMODYNAMICS,
lab,Heat Transfer Lab,NAV_LAB_HEAT_TRANSFER,
lab,PLC,NAV_LAB_PLC,
lab,Mechatronics Measurement,NAV_LAB_MECHATRONICS_MEASUREMENT,
lab,Machine Design Lab,NAV_LAB_MACHINE_DESIGN,
